code,name,description,refreshed_at,from_date,to_date
SHILLER_PE_RATIO_MONTH,Shiller PE Ratio by Month,"Shiller PE ratio for the S&P 500. Price earnings ratio is based on average inflation-adjusted earnings from the previous 10 years, known as the Cyclically Adjusted PE Ratio (CAPE Ratio), Shiller PE Ratio, or PE 10 FAQ. Data courtesy of Robert Shiller from his book, Irrational Exuberance.",2022-08-02 04:05:44,1871-02-01,2022-08-01
SHILLER_PE_RATIO_YEAR,Shiller PE Ratio by Year,"Shiller PE ratio for the S&P 500. Price earnings ratio is based on average inflation-adjusted earnings from the previous 10 years, known as the Cyclically Adjusted PE Ratio (CAPE Ratio), Shiller PE Ratio, or PE 10 FAQ. Data courtesy of Robert Shiller from his book, Irrational Exuberance.",2022-08-02 04:05:44,1872-01-01,2022-08-01
SP500_BVPS_QUARTER,S&P 500 Book Value Per Share by Quarter,S&P 500 book value per share non-inflation adjusted current dollars. Source: Standard & Poor's,2022-08-02 04:05:39,1999-12-31,2021-12-31
SP500_BVPS_YEAR,S&P 500 Book Value Per Share by Year,S&P 500 book value per share non-inflation adjusted current dollars. Source: Standard & Poor's,2022-08-02 04:05:40,1999-12-31,2021-12-31
SP500_DIV_GROWTH_QUARTER,S&P 500 Dividend Growth by Quarter,S&P 500 dividend growth rate per year. Annual current dollars percentage change in 12 month dividend per share (not inflation adjusted). Source: Standard & Poor's,2022-08-02 04:05:40,1989-12-31,2022-06-30
SP500_DIV_GROWTH_YEAR,S&P 500 Dividend Growth by Year,S&P 500 dividend growth rate per year. Annual current dollars percentage change in 12 month dividend per share (not inflation adjusted). Source: Standard & Poor's,2022-08-02 04:05:41,1989-12-31,2022-06-30
SP500_DIV_MONTH,S&P 500 Dividend by Month,"12-month real dividend per share inflation adjusted June, 2022 dollars. Data courtesy Standard & Poor's and Robert Shiller.",2022-08-02 04:05:40,1871-01-31,2022-06-30
SP500_DIV_YEAR,S&P 500 Dividend by Year,"12-month real dividend per share inflation adjusted June, 2022 dollars. Data courtesy Standard & Poor's and Robert Shiller.",2022-08-02 04:05:40,1871-12-31,2022-06-30
SP500_DIV_YIELD_MONTH,S&P 500 Dividend Yield by Month,"S&P 500 dividend yield (12 month dividend per share)/price. Yields following June 2022 (including the current yield) are estimated based on 12 month dividends through June 2022, as reported by S&P. Sources: Standard & Poor's for current S&P 500 Dividend Yield. Robert Shiller and his book Irrational Exuberance for historic S&P 500 Dividend Yields.",2022-08-02 04:05:41,1871-01-31,2022-08-01
SP500_DIV_YIELD_YEAR,S&P 500 Dividend Yield by Year,"S&P 500 dividend yield (12 month dividend per share)/price. Yields following June 2022 (including the current yield) are estimated based on 12 month dividends through June 2022, as reported by S&P. Sources: Standard & Poor's for current S&P 500 Dividend Yield. Robert Shiller and his book Irrational Exuberance for historic S&P 500 Dividend Yields.",2022-08-02 04:05:41,1871-12-31,2022-08-01
